"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","60","65","6","65.261261","0","73"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","20","2","62.102722","0","173"
"Globals","0","4445","0","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial_VT.BaseFlattenMaterial_VT","0","69","26","1","467.252289","0","340"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","69","9","1","484.510010","0","955"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","11","12","1","17.383493","0","20"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","11.128090","0","10"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","32","4","1","313.176483","0","98"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","8","8","1","10.726278","0","10"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","8","1","9.491508","0","8"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","3","3","1","5.716668","0","3"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","3","3","1","5.401604","0","3"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","10.735667","0","12"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","60","6","1","300.840363","0","310"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","86","12","1","481.755737","0","548"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","12.774772","0","4"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","539","10","1","550.153870","0","16814"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","74","8","1","582.877014","0","414"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","137","10","1","1197.426758","0","1240"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","35","10","1","418.611664","0","116"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","10.349792","0","13"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","65","10","1","386.902985","0","338"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","103","12","1","347.605194","0","849"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","65","10","1","378.129120","0","327"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","65","1","1","389.199921","0","361"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","9.432434","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","32","1","1","242.699799","0","100"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","8.315984","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","3","3","1","5.893031","0","4"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","20","2","1","164.926834","0","50"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","7.534708","0","8"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","4","4","1","4.320708","0","4"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","6","1","529.617188","0","220"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","5.680611","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","29","10","1","21.417896","0","106"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","119","10","1","352.308411","0","886"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","893","10","1","3879.804443","0","44938"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","30","12","1","123.580772","0","86"
"","0","1","0","1","0.000000","3","0"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","0","105","23","3","943.385376","0","367"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","0","3","3","1","5.953723","0","3"
"/Game/VRTemplate/Materials/M_TeleportPreviews.M_TeleportPreviews","0","16","2","1","27.128845","0","44"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","0","40","10","1","48.432392","0","214"
"/Engine/VREditor/Devices/Vive/VivePreControllerMaterial.VivePreControllerMaterial","0","20","8","1","213.669464","0","50"
"/Game/Import/Spikes.Spikes","0","20","2","1","209.924850","0","50"
"/Game/Import/Icopshperes.Icopshperes","0","20","2","1","205.168884","0","52"
"/Game/Import/Cylinder.Cylinder","0","22","4","1","216.843170","0","61"
"/Game/Import/Icospheres.Icospheres","0","20","4","1","226.428619","0","50"
"/Game/Import/Spikes_001.Spikes_001","0","22","6","1","213.359192","0","63"
"/Game/Import/Floor.Floor","0","20","10","1","218.416962","0","56"
"/Game/Import/Spheres.Spheres","0","20","10","1","218.729492","0","56"
"/Game/Import/Cubes.Cubes","0","20","6","1","209.586105","0","56"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","29","10","1","27.577892","0","103"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","13.805882","0","6"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","0","20","20","1","206.905624","0","30"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","0","60","13","1","239.725189","0","296"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","35","10","1","432.381897","0","115"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","0","20","10","1","193.650711","0","55"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","35","10","1","424.575134","0","115"
